incident_type,city,state,date_time,year,data type,subject_race,gender,subject_ethnicity,block_address,district,psa,age
Stop & Frisk,"Washington, D.C.",DC,1/21/10 20:05,2010,Person,Unknown,Unknown,Unknown,4700 B/O MARTIN LUTHER KING JR AVE SW,7D,708.0,
Stop & Frisk,"Washington, D.C.",DC,1/21/10 21:22,2010,Person,Black,Male,Not Hispanic Or Latino,QUARLES ST NE,6D,602.0,
Stop & Frisk,"Washington, D.C.",DC,1/22/10 1:30,2010,Person,Black,Male,Not Hispanic Or Latino,1300 B/O SARATOGA AVE NE,5D,505.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/22/10 1:30,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O 6TH ST NE,1D,104.0,26
Stop & Frisk,"Washington, D.C.",DC,1/22/10 12:00,2010,Person,Black,Male,Not Hispanic Or Latino,1500 B/O 1ST ST NE,5D,501.0,79
Stop & Frisk,"Washington, D.C.",DC,1/22/10 12:00,2010,,,,,QUEENS CHAPEL RD NE / BLADENSBURG RD NE,5D,503.0,
Stop & Frisk,"Washington, D.C.",DC,1/22/10 13:14,2010,Person,Black,Male,Not Hispanic Or Latino,2700 B/O PENNSYLVANIA AVE SE,6D,605.0,23
Stop & Frisk,"Washington, D.C.",DC,1/22/10 13:14,2010,Person,Black,Male,Not Hispanic Or Latino,2700 B/O PENNSYLVANIA AVE SE,6D,605.0,27
Stop & Frisk,"Washington, D.C.",DC,1/22/10 17:03,2010,Person,Black,Male,Unknown,1700 B/O SAVANNAH ST SE,7D,704.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/22/10 17:03,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O SAVANNAH ST SE,7D,704.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/22/10 23:19,2010,Person,Black,Male,Not Hispanic Or Latino,5200 B/O ILLINOIS AVE NW,4D,403.0,35
Stop & Frisk,"Washington, D.C.",DC,1/22/10 23:19,2010,Person,Black,Male,Not Hispanic Or Latino,5200 B/O ILLINOIS AVE NW,4D,403.0,38
Stop & Frisk,"Washington, D.C.",DC,1/22/10 23:19,2010,Person,Black,Male,Not Hispanic Or Latino,5200 B/O ILLINOIS AVE NW,4D,403.0,38
Stop & Frisk,"Washington, D.C.",DC,1/23/10 2:50,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O PENNSYLVANIA AVE SE,1D,107.0,22
Stop & Frisk,"Washington, D.C.",DC,1/23/10 3:29,2010,Person,Black,Male,Not Hispanic Or Latino,1200 B/O CRITTENDEN ST NW,4D,404.0,21
Stop & Frisk,"Washington, D.C.",DC,1/23/10 3:29,2010,Person,Unknown,Unknown,Unknown,1200 B/O CRITTENDEN ST NW,4D,404.0,
Stop & Frisk,"Washington, D.C.",DC,1/23/10 16:00,2010,Person,Black,Female,Not Hispanic Or Latino,1100 B/O 16THS T NE,5D,504.0,19
Stop & Frisk,"Washington, D.C.",DC,1/23/10 16:00,2010,Person,Black,Female,Not Hispanic Or Latino,1100 B/O 16THS T NE,5D,504.0,21
Stop & Frisk,"Washington, D.C.",DC,1/23/10 16:00,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O 16THS T NE,5D,504.0,27
Stop & Frisk,"Washington, D.C.",DC,1/23/10 16:00,2010,Person,Black,Male,Unknown,1100 B/O 16THS T NE,5D,504.0,26
Stop & Frisk,"Washington, D.C.",DC,1/23/10 19:09,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O MEADE ST NE,6D,601.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/23/10 19:09,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O MEADE ST NE,6D,601.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/23/10 21:27,2010,Person,Black,Male,Not Hispanic Or Latino,2600 B/O 22ND ST NE,5D,503.0,47
Stop & Frisk,"Washington, D.C.",DC,1/23/10 21:44,2010,Person,Black,Male,Not Hispanic Or Latino,1800 B/O KENDALL ST NE,5D,504.0,22
Stop & Frisk,"Washington, D.C.",DC,1/24/10 0:00,2010,Person,Black,Male,Not Hispanic Or Latino,2100 B/O H ST NW,2D,207.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/24/10 0:00,2010,Person,Black,Male,Not Hispanic Or Latino,2100 B/O H ST NW,2D,207.0,18
Stop & Frisk,"Washington, D.C.",DC,1/24/10 1:45,2010,Person,Black,Male,Unknown,57TH ST NE / FOOTE ST NE,6D,602.0,19
Stop & Frisk,"Washington, D.C.",DC,1/24/10 1:45,2010,Person,Black,Male,Not Hispanic Or Latino,57TH ST NE / FOOTE ST NE,6D,602.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/24/10 1:45,2010,Person,Black,Male,Not Hispanic Or Latino,57TH ST NE / FOOTE ST NE,6D,602.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/24/10 1:45,2010,Person,Black,Male,Not Hispanic Or Latino,57TH ST NE / FOOTE ST NE,6D,602.0,29
Stop & Frisk,"Washington, D.C.",DC,1/24/10 22:09,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O 17TH ST NW,3D,301.0,Juvenile
